Timestamp,Are you able to commit to monthly 30-minute meetings with a mentee? (virtual or in-person),Please select your preferred methods of communication for mentorship with a student in San Diego.,Which career development topics would you most like to discuss with a mentee?,Are you interested in providing a job shadowing experience for your mentee?,Are you interested in working together on a project with your mentee?,"In a word or two, please describe your industry","City, State, and Country where you currently reside. 
(If outside of Pacific Time Zone please include the number of hours of time difference.)","In a few sentences, please describe why you want to mentor a student.","When you give feedback, do you prefer:",Which of the following best describes you?,Which mentoring style do you prefer?,"Are there any topics, industries, or student backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most comfortable with? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentee?,First & Last Name,Email Address,Graduation Year,Data Science Program,"Job Title & Employer (If attending graduate school, please put school and program here.)",How many mentees would you like to be matched with?
7/2/2026 10:06:00,Yes,Texts,Transition to Industry,Maybe,No,Autonomous vehicles,"New York, NY",I switched fields twice and can speak to how survivable that is.,To be more conversational with examples,A blend of both,Letting the conversation flow organically,"I would rather not be matched with anyone in finance, consulting, or insurance.","Data visualization, storytelling","Excel, Google Sheets, BigQuery","I think out loud, so expect some half-formed ideas","Volunteering, community organizing, tutoring",Prefer written communication over phone calls,"Transfer student, so I have had less time to build a network",Kiran Tanaka,kiran.tanaka10@gmail.com,2024,MDS (Online),Software Engineer at Google,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 14:12:00,No,In Person,"Transition to Industry, Interview Preparation, Graduate School Decisions, How to Network",Maybe,Maybe,Energy and utilities,"Dubai, United Arab Emirates",I have been laid off twice and it would have helped to hear that early.,It depends on my mood that day,Energized by collaboration,A blend of both,None that I can think of,"Geospatial analysis, remote sensing","Ray, Weights and Biases, Optuna","Direct and to the point, I say what I mean","Soccer, basketball, watching football","I stutter sometimes, please do not finish my sentences",Recovering from burnout and rebuilding at a slower pace,Jonas Tanaka,jonas.tanaka11@gmail.com,2021,BS Data Science Minor,Senior Analyst at Deloitte,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/2/2026 18:32:00,Yes,"Email, Phone Conversations, Virtual Meeting, Instant Messaging, Google Meet","Resume Review, Interview Preparation, Graduate School Decisions, Transition to Industry, Leadership Skills, How to Network",Maybe,Yes,Semiconductors,"Bangalore, India",I switched fields twice and can speak to how survivable that is.,To be more conversational with examples,Prefer focused solo work,Letting the conversation flow organically,"Not autonomous vehicles, I have heard enough about them.","Information retrieval, search ranking","PySpark, Hive, Presto","Candid and fast-moving, I do not sugarcoat feedback","Sailing, kayaking, freediving",French and English both work,,Ines Chowdhury,ines.chowdhury12@gmail.com,2024,PhD,,One
7/2/2026 18:55:00,No,"In Person, Phone Conversations","Leadership Skills, Transition to Industry, Resume Review, How to Network, Graduate School Decisions, Interview Preparation, Getting promoted from analyst to scientist",No,No,Ed‑tech — mostly K‑12,Currently travelling,I find it rewarding to watch someone grow into their first technical role.,"Both, depending on the situation",Prefer focused solo work,Setting structured goals,,"“Applied” ML, broadly","Julia, MATLAB, NumPy","Formal in writing, relaxed in conversation","Learning languages, writing, journaling",,,Elena Novak,elena.novak13@gmail.com,2022,MDS (Online),Biostatistician at UCSD Health,One
7/3/2026 00:24:00,Maybe,"Phone Conversations, Virtual Meeting, Texts, In Person","How to Network, Resume Review, Graduate School Decisions, Leadership Skills, Transition to Industry",Yes,No,Government and public policy,"Honolulu, HI (2 hours behind Pacific)",I find it rewarding to watch someone grow into their first technical role.,,Prefer focused solo work,A blend of both,nope,"Edge inference, model compression","Postgres, Redis, FastAPI","Enthusiastic, sometimes to a fault","Running marathons, weightlifting, meal prep",I am most comfortable in Spanish and English,I am a veteran returning to school after several years,Elena Fitzgerald,elena.fitzgerald14@gmail.com,2022,MS in Data Science,Applied Scientist at Amazon,One
7/3/2026 02:15:00,Maybe,"Phone Conversations, Texts, Instant Messaging, Virtual Meeting, In Person","Resume Review, Graduate School Decisions, How to Network",Maybe,No,ML,"Seoul, South Korea",I want to demystify what a data scientist actually does all day.,"Short and specific, no preamble",A blend of both,Setting structured goals,Not really,"Bioinformatics, genomics","Python, scikit-learn, pandas","I think out loud, so expect some half-formed ideas","Beekeeping, foraging, making cheese",,"I have been thinking about this a lot and I want to give the full picture rather than a one line answer. I came into data science from public health, where I spent three years doing survey work that was mostly cleaning other people's spreadsheets, and what pulled me across was realizing that the modeling questions I found interesting were being answered somewhere else entirely. Since then I have worked on forecasting, a little causal inference, and one project that was really just a very elaborate dashboard. What I am hoping for is someone who has been in the field long enough to tell me which of those threads is worth pulling on, and honest enough to say when the answer is none of them. I do not need a cheerleader. I would rather hear that the thing I am excited about is a dead end now than in three years, and I would rather talk to someone who has changed their mind about something important than someone who has not.",Rafael Bauer,rafael.bauer15@gmail.com,2021,PhD,Biostatistician at UCSD Health,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/3/2026 03:33:00,Maybe,"Virtual Meeting, Instant Messaging","Graduate School Decisions, Interview Preparation, How to Network, Leadership Skills, Resume Review, Transition to Industry",Yes,No,Nonprofit,"Washington, DC",I find it rewarding to watch someone grow into their first technical role.,"Both, depending on the situation",A blend of both,Setting structured goals,nope,"Edge inference, model compression","Hugging Face transformers, LangChain","Patient and detailed, I explain my reasoning","Restoring old cars, motorcycles, welding",Mandarin or English both work for me,I care most about finding somewhere with good work life balance,Nadia Sharma,nadia.sharma16@gmail.com,2024,PhD,Staff Data Scientist at Illumina,One
7/3/2026 08:47:00,No,"In Person, Email, Phone Conversations, Virtual Meeting",Resume Review,No,No,Government and public policy,"Boston, Massachusetts, USA",I want to be the kind of manager I wish I had at twenty two.,To be direct and concise,A blend of both,Letting the conversation flow organically,n/a,"Computer vision, deep learning","Polars, DuckDB, Parquet","Structured, I usually come with an agenda","Astrophotography, telescope building, stargazing",,I care most about finding somewhere with good work life balance,Ines Lindgren,ines.lindgren17@gmail.com,2025,MDS (Online),Staff Data Scientist at Illumina,One
7/3/2026 14:21:00,Yes,Virtual Meeting,"Leadership Skills, Interview Preparation, How to Network, Resume Review, Transition to Industry, Graduate School Decisions",Maybe,No,Climate and sustainability,"Portland, Oregon, USA",I switched fields twice and can speak to how survivable that is.,To be direct and concise,Prefer focused solo work,A blend of both,"Not autonomous vehicles, I have heard enough about them.","Data visualization, storytelling","Airflow, Kubernetes, Terraform",I like to sleep on things before responding,"Gardening, woodworking, home repair",French and English both work,"First generation student, guidance on navigating industry would help",Noor Kowalski,noor.kowalski18@gmail.com,2023,PhD,Senior Analyst at Deloitte,One
7/3/2026 16:13:00,Maybe,"Virtual Meeting, Instant Messaging, Phone Conversations, Texts",Leadership Skills,Yes,Maybe,Digital health,"Las Vegas, Nevada, USA",Mentoring keeps me connected to the program and to new ideas.,To be direct and concise,Prefer focused solo work,A blend of both,nil,"Simulation, agent based modeling","Hugging Face transformers, LangChain","Formal in writing, relaxed in conversation","Gardening, woodworking, home repair","I stutter sometimes, please do not finish my sentences",I am considering a PhD but unsure it is the right path,Jamal Cisneros,jamal.cisneros19@gmail.com,2026,PhD,Analytics Manager at Petco,One
7/3/2026 21:19:00,Yes,Email,"Graduate School Decisions, Transition to Industry",Maybe,Yes,Sports analytics,"Phoenix, AZ",I want to demystify what a data scientist actually does all day.,To be direct and concise,A blend of both,A blend of both,"Anything except semiconductors, I spent four years there already.","Information retrieval, search ranking","QGIS, GeoPandas, Rasterio",I mirror whoever I am talking to,"Salsa dancing, live music, karaoke",,,Viktor Fontaine,viktor.fontaine20@gmail.com,2023,MAS,"Founder, early stage startup","Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/4/2026 01:58:00,Yes,"In Person, Phone Conversations, Texts, Instant Messaging, Email, Virtual Meeting",Graduate School Decisions,Yes,Maybe,Technology,"Vancouver, BC, Canada",I want to demystify what a data scientist actually does all day.,"Both, depending on the situation",A blend of both,A blend of both,Please avoid anyone whose work is mostly Tableau dashboards.,"Geospatial analysis, remote sensing","QGIS, GeoPandas, Rasterio","Patient and detailed, I explain my reasoning","Knitting, quilting, embroidery",,,Jonas Andersen,jonas.andersen21@gmail.com,2026,MS in Data Science,Staff Data Scientist at Illumina,One
7/4/2026 06:57:00,Maybe,"Email, In Person, Phone Conversations, Virtual Meeting, Texts","How to Network, Resume Review, Leadership Skills, Interview Preparation, Graduate School Decisions, Transition to Industry",Yes,Yes,Investment banking,"Boulder, Colorado (1 hour ahead of Pacific)",I enjoy helping students figure out which parts of data science they actually like.,Over coffee rather than in a meeting,Energized by collaboration,A blend of both,No,"Geospatial analysis, remote sensing","TensorFlow, Keras, JAX","Blunt, though I try to be kind about it","Running marathons, weightlifting, meal prep",Please send materials in advance so I can read them,,Bilal Kowalski,bilal.kowalski22@gmail.com,2025,PhD,Research Engineer at Salk Institute,One
7/4/2026 13:11:00,No,"Instant Messaging, Virtual Meeting, Email, In Person, Phone Conversations","Interview Preparation, Resume Review, Graduate School Decisions, How to Network",Yes,Yes,Digital health,"Denver, Colorado, USA",I enjoy helping students figure out which parts of data science they actually like.,Whichever the moment calls for,Prefer focused solo work,Letting the conversation flow organically,nope,"Pricing, revenue management","Julia, MATLAB, NumPy","Candid and fast-moving, I do not sugarcoat feedback","Salsa dancing, live music, karaoke",,"First generation student, guidance on navigating industry would help",Milos Rahman,milos.rahman23@gmail.com,2025,MAS,Senior Analyst at Deloitte,One
7/4/2026 18:16:00,Maybe,"Zoom, but only if it is scheduled ahead","Transition to Industry, Interview Preparation, Graduate School Decisions, Leadership Skills",Maybe,Maybe,Telecommunications,"Boulder, Colorado (1 hour ahead of Pacific)",I want to be the kind of manager I wish I had at twenty two.,"Both, depending on the situation",Prefer focused solo work,A blend of both,No,"Knowledge graphs, entity resolution","PySpark, Hive, Presto","Playful, I use a lot of analogies","Surfing, swimming, beach volleyball",,,Emeka Zhang,emeka.zhang6@gmail.com,2020,MDS (Online),Research Engineer at Salk Institute,One
6/28/2026 08:00:00,No,"Email, Instant Messaging, Virtual Meeting, Texts, In Person, Whatever is easiest for them",Resume Review,No,No,Defense,"Sydney, Australia",Mentoring keeps me connected to the program and to new ideas.,To be more conversational with examples,Prefer focused solo work,A blend of both,,"Computer vision, deep learning","Postgres, Redis, FastAPI","Informal and flexible, I follow where the conversation goes","Podcasting, improv comedy, community theater",,,Gustavo Zhang,gustavo.zhang7@gmail.com,2025,MS in Data Science,Applied Scientist at Amazon,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/4/2026 18:46:00,Yes,In Person,"Interview Preparation, Transition to Industry, Leadership Skills, Graduate School Decisions, Resume Review",Yes,Yes,Software,"Seoul, South Korea",,"Both, depending on the situation",Prefer focused solo work,A blend of both,,"Graph analytics, network science","QGIS, GeoPandas, Rasterio","Candid and fast-moving, I do not sugarcoat feedback","Playing guitar, going to concerts, collecting vinyl",,,Alex Morgan,,2024,BS Data Science Minor,Senior Analyst at Deloitte,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/4/2026 19:11:00,Maybe,"Virtual Meeting, Instant Messaging, Walking meetings, weather permitting","Interview Preparation, How to Network, Leadership Skills",Yes,Maybe,Autonomous vehicles,Somewhere near Austin these days,I remember how confusing the transition from coursework to industry was.,"In writing, so I can sit with it",Prefer focused solo work,A blend of both,"Nothing comes to mind really, I am open to most things.","Reinforcement learning, robotics","Git, GitHub Actions, MLflow","Blunt, though I try to be kind about it","Cycling, road trips, birdwatching",,,Alex Morgan,,2021,BS Data Science Minor,Data Scientist at Qualcomm,as many as you need
