Timestamp,Are you able to commit to monthly 30-minute meetings with a mentee? (virtual or in-person),Please select your preferred methods of communication for mentorship with a student in San Diego.,Which career development topics would you most like to discuss with a mentee?,Are you interested in providing a job shadowing experience for your mentee?,Are you interested in working together on a project with your mentee?,"In a word or two, please describe your industry","City, State, and Country where you currently reside. 
(If outside of Pacific Time Zone please include the number of hours of time difference.)","In a few sentences, please describe why you want to mentor a student.","When you give feedback, do you prefer:",Which of the following best describes you?,Which mentoring style do you prefer?,"Are there any topics, industries, or student backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most comfortable with? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentee?,First & Last Name,Email Address,Graduation Year,Data Science Program,"Job Title & Employer (If attending graduate school, please put school and program here.)",How many mentees would you like to be matched with?
7/2/2026 18:16:00,Yes,Instant Messaging,"How to Network, Interview Preparation, Graduate School Decisions, Resume Review, Public speaking and conference talks",Yes,Yes,Healthcare,"Miami, FL",I think the industry needs more people from non traditional backgrounds.,Ask me first whether I want feedback,A blend of both,Letting the conversation flow organically,"I would rather not be matched with anyone in finance, consulting, or insurance.","Natural language processing, large language models","Vertex AI, BigQuery ML, Dataflow","Structured, I usually come with an agenda","Reading science fiction, board games, puzzles","Screen reader user, plain text documents are easiest",I am considering a PhD but unsure it is the right path,Grace Volkov,grace.volkov10@gmail.com,2025,BS Data Science Major,Data Scientist at Qualcomm,One
7/2/2026 20:08:00,Yes,In Person,"Interview Preparation, Transition to Industry, Graduate School Decisions, Resume Review, How to Network, Leadership Skills",Yes,No,Healthcare,Hybrid between two offices (-1),I enjoy helping students figure out which parts of data science they actually like.,It depends on my mood that day,A blend of both,Letting the conversation flow organically,,"Graph analytics, network science","Streamlit, Plotly, Dash","Candid and fast-moving, I do not sugarcoat feedback","Painting, ceramics, visiting museums",,Recently switched from a humanities background into data science,Ursula Chowdhury,ursula.chowdhury11@gmail.com,2023,MS in Data Science,PhD student in Computer Science at UW,One
7/3/2026 02:42:00,No,"Phone Conversations, In Person, Instant Messaging, Texts, Email, Async video like Loom","Resume Review, Interview Preparation, Graduate School Decisions, Transition to Industry, Leadership Skills, How to Network",No,Yes,Defense,Remote,Mentoring keeps me connected to the program and to new ideas.,"Both, depending on the situation",Prefer focused solo work,Setting structured goals,No,"Fraud detection, anomaly detection","Python, PyTorch, Docker",I listen more than I talk,"Cycling, road trips, birdwatching",,I care most about finding somewhere with good work life balance,Anika Silva,anika.silva12@gmail.com,2025,MDS (Online),,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
7/3/2026 05:51:00,Maybe,"Instant Messaging, In Person, Phone Conversations, Texts, Email","Transition to Industry, How to Network",Yes,Yes,Ed‑tech — mostly K‑12,Remote,I want to help students avoid the mistakes I made in my first few roles.,To be more conversational with examples,Energized by collaboration,Setting structured goals,nil,"“Applied” ML, broadly","Python, PyTorch, Docker","Concise in writing, more expansive in person","Learning languages, writing, journaling","Korean speaker, but English is fine for professional topics",Would prefer someone who has been through a layoff,Cara Rahman,cara.rahman13@gmail.com,2023,BS Data Science Major,Product Analyst at Airbnb,One
7/3/2026 10:11:00,Maybe,"In Person, Email, Phone Conversations, Instant Messaging, Texts, WhatsApp","Transition to Industry, Graduate School Decisions, Publishing without a research lab behind you",Maybe,No,Government and public policy,"Honolulu, HI (2 hours behind Pacific)",I have been laid off twice and it would have helped to hear that early.,,A blend of both,Letting the conversation flow organically,"Not autonomous vehicles, I have heard enough about them.","Statistical modeling, Bayesian methods","Snowflake, Sigma, Hex",I prefer written follow-ups after a call,"Salsa dancing, live music, karaoke","English is my second language, please be patient with me",,Hana Lindqvist,hana.lindqvist14@gmail.com,2025,BS Data Science Major,Data Engineer at Snowflake,One
7/3/2026 16:24:00,Maybe,"Email, Phone Conversations","Leadership Skills, Transition to Industry, Resume Review, Interview Preparation, Graduate School Decisions",Maybe,Maybe,ML,"Miami, FL",I was a first generation student myself and had nobody to ask.,To be direct and concise,A blend of both,Setting structured goals,.,"Time series forecasting, demand planning","Excel, Google Sheets, BigQuery","Structured, I usually come with an agenda","Playing guitar, going to concerts, collecting vinyl","Vietnamese at home, English at work","I have been thinking about this a lot and I want to give the full picture rather than a one line answer. I came into data science from public health, where I spent three years doing survey work that was mostly cleaning other people's spreadsheets, and what pulled me across was realizing that the modeling questions I found interesting were being answered somewhere else entirely. Since then I have worked on forecasting, a little causal inference, and one project that was really just a very elaborate dashboard. What I am hoping for is someone who has been in the field long enough to tell me which of those threads is worth pulling on, and honest enough to say when the answer is none of them. I do not need a cheerleader. I would rather hear that the thing I am excited about is a dead end now than in three years, and I would rather talk to someone who has changed their mind about something important than someone who has not.",Oscar Eriksen,oscar.eriksen15@gmail.com,2023,BS Data Science Major,PhD student in Computer Science at UW,One
7/3/2026 16:56:00,Maybe,"Zoom, but only if it is scheduled ahead","Resume Review, Graduate School Decisions, How to Network, Leadership Skills",No,No,Media and entertainment,"Boulder, Colorado (1 hour ahead of Pacific)",I want to demystify what a data scientist actually does all day.,To be direct and concise,A blend of both,A blend of both,-,"Graph analytics, network science","Python, PyTorch, Docker","Direct and to the point, I say what I mean","Painting, ceramics, visiting museums","No accessibility needs, thanks for asking",,Ben Sharma,ben.sharma6@gmail.com,2022,MAS,Senior Analyst at Deloitte,"Two (Each would be treated as an individual mentee, not meeting in a group.)"
6/28/2026 08:00:00,Yes,"Phone Conversations, Email, In Person",Resume Review,Yes,Maybe,Insurance,"Sydney, Australia",Explaining my work to students makes me better at my own job.,Show me an example of what good looks like,Prefer focused solo work,Letting the conversation flow organically,,"Survival analysis, clinical trials","Airflow, Kubernetes, Terraform",I check in often rather than waiting for a scheduled meeting,"Rock climbing, bouldering, yoga","I am hard of hearing, so video with captions works best",I am a veteran returning to school after several years,Uma Haddad,uma.haddad7@gmail.com,2021,PhD,Product Analyst at Airbnb,One
7/3/2026 17:26:00,Yes,"Texts, Instant Messaging","Leadership Skills, Graduate School Decisions, Resume Review",No,Yes,Advertising technology,"San Diego, California, USA",,"Both, depending on the situation",Energized by collaboration,Letting the conversation flow organically,nope,"Interpretability, model explanation","Scala, Kafka, Flink","Analytical, I like working through problems on a whiteboard","Learning languages, writing, journaling",,,Alex Morgan,,2022,MDS (Online),Data Engineer at Snowflake,One
7/3/2026 17:51:00,No,"In Person, Virtual Meeting, Texts, Phone Conversations, Email, Instant Messaging",Interview Preparation,Yes,No,Video games,"Bangalore, India",I want to demystify what a data scientist actually does all day.,Skip the compliment sandwich please,Prefer focused solo work,A blend of both,"Nothing comes to mind really, I am open to most things.","Reinforcement learning, robotics","Vertex AI, BigQuery ML, Dataflow","Socratic, I would rather ask than tell","Soccer, basketball, watching football",,I am a veteran returning to school after several years,Alex Morgan,,2025,MAS,Data Engineer at Snowflake,as many as you need
