Timestamp,Are you able to commit to monthly 30 minute meetings with a mentor? (virtual or in-person),Please select your preferred methods of communication with a mentor.,Which career development topics would you most like to discuss with a mentor?,Are you interested in a job shadowing experience with your mentor?,Are you interested in working on a project with your mentor?,Please indicate any industries or domains you're interested in learning more about.,"City, State, and Country where you reside when not in school.","In a few sentences, please describe why you'd like to be matched with a mentor.","When you receive feedback, do you prefer:",Which of the following best describes you?,Which mentoring style would you prefer?,"Are there any topics, industries, or mentor backgrounds you would prefer to avoid?","Which data‑science sub‑domains are you most interested in? Select up to 3. (e.g., Machine Learning, NLP, ML Ops, Data Engineering, Visualization, Statistics, Causal Inference, etc.)","List any tools or platforms you use regularly or would like to learn more about (Python, R, TensorFlow, PySpark, Tableau, AWS, etc.).",How would you describe your communication style?,"List three activities you love doing outside of school or work (e.g., hiking, playing guitar, cooking, video games, etc.)",Do you have any language preferences or accessibility needs we should know about?,Is there anything else you'd like for us to consider in matching you with a mentor?,First & Last Name,UCSD Email Address,Planned Graduation Year
7/2/2026 20:13:00,Maybe,"Instant Messaging, Texts, Email, In Person, Anything but email","Resume Review, Transition to Industry",No,Yes,Investment banking,Singapore,,For it to be direct and concise,Energized by collaboration,Letting the conversation flow organically,N/A,"Data engineering, ETL pipelines","TensorFlow, Keras, JAX","Informal and flexible, I follow where the conversation goes","Painting, ceramics, visiting museums",I am most comfortable in Spanish and English,,Priya Volkov,priya.volkov10@ucsd.edu,2027
7/3/2026 02:17:00,No,"Virtual Meeting, In Person, Phone Conversations, Email, Instant Messaging","Transition to Industry, How to Network, Leadership Skills",No,Maybe,Technology,Currently travelling,I am unsure whether to pursue graduate school or go straight to industry.,For it to be direct and concise,Energized by collaboration,Setting structured goals,none,"Time series forecasting, demand planning","Spark, Databricks, Delta Lake","Analytical, I like working through problems on a whiteboard","Cycling, road trips, birdwatching",Please send materials in advance so I can read them,,Hana Salazar,hana.salazar11@ucsd.edu,2027
7/3/2026 03:49:00,No,"Instant Messaging, In Person, Texts, Virtual Meeting, Phone Conversations","Transition to Industry, Interview Preparation",Maybe,No,Insurance,"London, United Kingdom",,For it to be direct and concise,A blend of both,Setting structured goals,N/A,"Natural language processing, large language models","Scala, Kafka, Flink","Warm and conversational, I like to build rapport first","Gardening, woodworking, home repair",,Hoping to end up somewhere I can work on climate problems,Ravi Murphy,ravi.murphy12@ucsd.edu,2027
7/3/2026 07:57:00,Maybe,"Virtual Meeting, In Person, Phone Conversations, Email, Texts","How to Network, Resume Review, Interview Preparation, Graduate School Decisions",Yes,No,Biotechnology,Prefer not to say,,For it to be more conversationsal with examples,Energized by collaboration,Letting the conversation flow organically,,"Bioinformatics, genomics","Scala, Kafka, Flink","Informal and flexible, I follow where the conversation goes","Learning languages, writing, journaling","I have ADHD and do better with shorter, more frequent check-ins",,Liam Novak,liam.novak13@ucsd.edu,2030
7/3/2026 11:42:00,Yes,"Texts, Email, Instant Messaging, Virtual Meeting, Slack","Interview Preparation, Transition to Industry, How to Network, Leadership Skills, Resume Review",Yes,Yes,Investment banking,Currently travelling,I am hoping for guidance on negotiating my first offer.,For it to be direct and concise,A blend of both,Setting structured goals,-,"Fraud detection, anomaly detection","AWS SageMaker, Lambda, S3","Analytical, I like working through problems on a whiteboard","Hiking, trail running, camping",,Would prefer someone who has been through a layoff,Wei Osei,wei.osei14@ucsd.edu,2028
7/3/2026 13:57:00,Yes,"Virtual Meeting, Phone Conversations, Email, Texts","Interview Preparation, Transition to Industry, How to Network, Resume Review, Leadership Skills",Yes,Maybe,Management consulting,"Atlanta, Georgia, USA",,"Both, depending on the situation",A blend of both,Letting the conversation flow organically,,"Time series forecasting, demand planning","Airflow, Kubernetes, Terraform",I prefer written follow-ups after a call,"Cooking, baking sourdough, trying new restaurants",,I care most about finding somewhere with good work life balance,Jonas Salazar,jonas.salazar15@ucsd.edu,2027
7/3/2026 17:01:00,No,"Email, Instant Messaging","Resume Review, Interview Preparation",No,Maybe,Insurance,"Mexico City, Mexico",,For it to be more conversationsal with examples,Energized by collaboration,Setting structured goals,Prefer someone outside of insurance.,"Causal inference, experimentation","Tableau, Power BI, Looker",I ask a lot of questions before offering an opinion,"Learning languages, writing, journaling",,,Kiran Zhang,kiran.zhang16@ucsd.edu,2027
7/3/2026 21:49:00,Yes,"In Person, Instant Messaging, Email, Phone Conversations","Leadership Skills, Transition to Industry, Work life balance",No,Yes,Management consulting,"Denver, Colorado, USA",I want to learn how teams actually use machine learning in production.,"Both, depending on the situation",Energized by collaboration,A blend of both,I would prefer not to focus on natural language processing or large language models.,"Bioinformatics, genomics","AWS SageMaker, Lambda, S3","Analytical, I like working through problems on a whiteboard","Learning languages, writing, journaling","I am hard of hearing, so video with captions works best",,Sofia Nguyen,sofia.nguyen17@ucsd.edu,2029
7/4/2026 01:19:00,Maybe,"Phone Conversations, Instant Messaging","Leadership Skills, Graduate School Decisions, Interview Preparation",Yes,No,Autonomous vehicles,"Remote, 3 hours ahead of Pacific Time",I am hoping for guidance on negotiating my first offer.,"Both, depending on the situation",A blend of both,A blend of both,,"Causal inference, experimentation","Scala, Kafka, Flink",I listen more than I talk,"Rock climbing, bouldering, yoga","Screen reader user, plain text documents are easiest",,Amara Bauer,amara.bauer18@ucsd.edu,2027
7/4/2026 01:52:00,Maybe,"In Person, Virtual Meeting, Texts, Phone Conversations","How to Network, Graduate School Decisions",Yes,Yes,Media and entertainment,"Atlanta, Georgia, USA",I want to learn how teams actually use machine learning in production.,For it to be more conversationsal with examples,A blend of both,Setting structured goals,None,"Bioinformatics, genomics","TensorFlow, Keras, JAX","Direct and to the point, I say what I mean","Volunteering, community organizing, tutoring",French and English both work,,Viktor Karimi,viktor.karimi19@ucsd.edu,2028
7/4/2026 03:28:00,Yes,"Email, Phone Conversations, Instant Messaging, Virtual Meeting","Resume Review, Interview Preparation, Transition to Industry, How to Network",Maybe,No,Education technology,"Atlanta, Georgia, USA",,For it to be direct and concise,A blend of both,A blend of both,N/A,"MLOps, model deployment, monitoring","Postgres, Redis, FastAPI","Informal and flexible, I follow where the conversation goes","Photography, travel, film festivals","Korean speaker, but English is fine for professional topics","Balancing a part time job with coursework, so scheduling is tight",Nadia Okafor,nadia.okafor20@ucsd.edu,2029
7/4/2026 08:27:00,Maybe,"Texts, Virtual Meeting, Email, In Person, Phone Conversations","Transition to Industry, Resume Review, Interview Preparation, How to Network, Graduate School Decisions",Yes,No,Retail,"San Diego, California, USA",I am hoping for guidance on negotiating my first offer.,For it to be direct and concise,A blend of both,Setting structured goals,N/A,"Graph analytics, network science","Airflow, Kubernetes, Terraform","Patient and detailed, I explain my reasoning","Soccer, basketball, watching football",Prefer written communication over phone calls,,Zara Bergstrom,zara.bergstrom21@ucsd.edu,2029
7/4/2026 13:47:00,Maybe,"In Person, Virtual Meeting","Resume Review, How to Network",No,Yes,Video games,"Mexico City, Mexico",,"Both, depending on the situation",Energized by collaboration,Letting the conversation flow organically,nope,"Data visualization, storytelling","Tableau, Power BI, Looker","Informal and flexible, I follow where the conversation goes","Playing guitar, going to concerts, collecting vinyl",,Would prefer someone who has been through a layoff,Cara Mensah,cara.mensah22@ucsd.edu,2030
7/4/2026 15:39:00,Yes,"Email, In Person","Graduate School Decisions, Leadership Skills",No,No,E-commerce,"Irvine, California, USA",,"Both, depending on the situation",Energized by collaboration,Letting the conversation flow organically,No interest in advertising or media.,"Recommender systems, personalization","TensorFlow, Keras, JAX","Analytical, I like working through problems on a whiteboard","Cooking, baking sourdough, trying new restaurants",,,Cara Lindgren,cara.lindgren23@ucsd.edu,2029
7/4/2026 21:28:00,No,"Texts, Virtual Meeting, Instant Messaging","Graduate School Decisions, Transition to Industry, Leadership Skills, Work life balance",No,No,Software,"Irvine, California, USA",I would value someone to talk through career options with.,"Both, depending on the situation",A blend of both,A blend of both,none,"Data visualization, storytelling","Postgres, Redis, FastAPI","Encouraging, I lead with what is going well","Rock climbing, bouldering, yoga","English is my second language, please be patient with me",I am interested in research but have no publications yet,Clara Adeyemi,clara.adeyemi24@ucsd.edu,2029
7/4/2026 23:20:00,Maybe,"Virtual Meeting, Email, Phone Conversations","Transition to Industry, Graduate School Decisions, Interview Preparation, Resume Review",Yes,Maybe,Agriculture technology,"Boulder, Colorado (1 hour ahead of Pacific)",,For it to be more conversationsal with examples,Energized by collaboration,Setting structured goals,No interest in advertising or media.,"Computer vision, deep learning","Python, PyTorch, Docker",I listen more than I talk,"Soccer, basketball, watching football",,I work night shifts so evenings are difficult,Clara Osei,clara.osei25@ucsd.edu,2027
7/5/2026 05:17:00,No,"Email, Texts, Instant Messaging, Phone Conversations, Virtual Meeting","Interview Preparation, Transition to Industry, Graduate School Decisions, Leadership Skills",No,Yes,Healthcare,"San Diego, California, USA",,For it to be more conversationsal with examples,A blend of both,A blend of both,,"Statistical modeling, Bayesian methods","SQL, dbt, Snowflake","Candid and fast-moving, I do not sugarcoat feedback","Running marathons, weightlifting, meal prep",Happy to speak Hindi or English,,Ibrahim Chowdhury,ibrahim.chowdhury26@ucsd.edu,2029
7/5/2026 06:51:00,No,"Phone Conversations, Virtual Meeting, In Person","Graduate School Decisions, Leadership Skills, How to Network, Interview Preparation",Maybe,Maybe,Healthcare,"Seattle, Washington, USA",,Depends entirely on the person,A blend of both,Letting the conversation flow organically,nope,"Graph analytics, network science","Git, GitHub Actions, MLflow",I ask a lot of questions before offering an opinion,"Cooking, baking sourdough, trying new restaurants",,Would love a mentor who has worked abroad,Omar Reyes,omar.reyes27@ucsd.edu,2029
7/5/2026 07:44:00,No,"Texts, Instant Messaging, Phone Conversations","Resume Review, How to Network, Interview Preparation",Yes,No,Technology,"Austin, Texas, USA",I am hoping for guidance on negotiating my first offer.,For it to be direct and concise,Energized by collaboration,Setting structured goals,,"Fraud detection, anomaly detection","TensorFlow, Keras, JAX","Encouraging, I lead with what is going well","Painting, ceramics, visiting museums",,,Ben Iyer,ben.iyer28@ucsd.edu,2029
7/5/2026 13:25:00,Yes,"Texts, Phone Conversations, In Person, Email","Resume Review, Leadership Skills, Transition to Industry, Graduate School Decisions",No,Yes,Insurance,"Sao Paulo, Brazil",I am hoping for guidance on negotiating my first offer.,For it to be direct and concise,Prefer focused solo work,Setting structured goals,none,"Optimization, operations research","Spark, Databricks, Delta Lake","Direct and to the point, I say what I mean","Reading science fiction, board games, puzzles","I have ADHD and do better with shorter, more frequent check-ins",,Grace Alkhatib,grace.alkhatib29@ucsd.edu,2029
7/5/2026 14:10:00,Maybe,"In Person, Email, Texts, Instant Messaging, Phone Conversations","Interview Preparation, Leadership Skills, Graduate School Decisions, How to Network, Transition to Industry",Maybe,Maybe,Management consulting,"San Diego, California, USA",I am hoping for guidance on negotiating my first offer.,For it to be more conversationsal with examples,A blend of both,Letting the conversation flow organically,None,"Geospatial analysis, remote sensing","Tableau, Power BI, Looker","Direct and to the point, I say what I mean","Chess, competitive gaming, streaming",,Recently switched from a humanities background into data science,Quinn Dubois,quinn.dubois30@ucsd.edu,2030
7/5/2026 19:10:00,Maybe,"In Person, Virtual Meeting, Phone Conversations, Texts, Instant Messaging","Leadership Skills, Transition to Industry, Graduate School Decisions, How to Network, Interview Preparation",No,Yes,Healthcare,"Mexico City, Mexico",,For it to be more conversationsal with examples,Energized by collaboration,Letting the conversation flow organically,nope,"Causal inference, experimentation","Hugging Face transformers, LangChain",I prefer written follow-ups after a call,"Learning languages, writing, journaling",I use captions on video calls,"I am a parent, so daytime meetings work better than evenings",Cara Nguyen,cara.nguyen31@ucsd.edu,2028
7/5/2026 22:24:00,No,"Texts, In Person, Email, Phone Conversations","Transition to Industry, Leadership Skills, How to Network, Interview Preparation",No,Maybe,Insurance,"Salt Lake City, Utah, USA",,For it to be more conversationsal with examples,Prefer focused solo work,Letting the conversation flow organically,,"Bioinformatics, genomics","Git, GitHub Actions, MLflow","Patient and detailed, I explain my reasoning","Cycling, road trips, birdwatching",,I work night shifts so evenings are difficult,Nadia Bauer,nadia.bauer32@ucsd.edu,2027
7/5/2026 23:36:00,Yes,"Virtual Meeting, Phone Conversations, Email, In Person, Texts","Resume Review, Interview Preparation, Graduate School Decisions, Negotiating a first offer",Maybe,Maybe,Biotechnology,"Austin, Texas, USA",I want to hear from someone who moved from academia into industry.,For it to be more conversationsal with examples,A blend of both,A blend of both,,"Time series forecasting, demand planning","Postgres, Redis, FastAPI","Direct and to the point, I say what I mean","Photography, travel, film festivals","English is my second language, please be patient with me",I am changing careers and would value someone who did the same,Nadia Sharma,nadia.sharma33@ucsd.edu,2030
7/6/2026 04:16:00,Yes,"Virtual Meeting, In Person","Resume Review, Graduate School Decisions",No,Yes,Software,Currently travelling,,Depends entirely on the person,Energized by collaboration,A blend of both,,"Bioinformatics, genomics","Python, PyTorch, Docker","Warm and conversational, I like to build rapport first","Volunteering, community organizing, tutoring","I am hard of hearing, so video with captions works best",I am changing careers and would value someone who did the same,Wren Bauer,wren.bauer34@ucsd.edu,2027
7/6/2026 08:12:00,Maybe,"In Person, Email, Texts","Leadership Skills, Resume Review, Graduate School Decisions, Interview Preparation, How to Network, Work life balance",No,No,Healthcare,Currently travelling,,For it to be direct and concise,A blend of both,Setting structured goals,Prefer someone outside of insurance.,"Computer vision, deep learning","AWS SageMaker, Lambda, S3","Structured, I usually come with an agenda","Surfing, swimming, beach volleyball",,,Hiro Osei,hiro.osei35@ucsd.edu,2030
7/6/2026 08:56:00,Maybe,"Phone Conversations, Instant Messaging","Resume Review, Leadership Skills, Graduate School Decisions",Yes,No,Aerospace,"Sao Paulo, Brazil",I want to hear from someone who moved from academia into industry.,For it to be direct and concise,Energized by collaboration,Setting structured goals,-,"Statistical modeling, Bayesian methods","Git, GitHub Actions, MLflow",I listen more than I talk,"Photography, travel, film festivals","Screen reader user, plain text documents are easiest",I am interested in research but have no publications yet,Viktor Tanaka,viktor.tanaka36@ucsd.edu,2028
7/6/2026 09:59:00,No,"Phone Conversations, Email, Texts, Discord","Graduate School Decisions, Leadership Skills, Resume Review, Transition to Industry",Maybe,No,Technology,"Minneapolis, Minnesota, USA",I want to understand what data science work is actually like day to day.,"Both, depending on the situation",Energized by collaboration,A blend of both,"I would rather not discuss computer vision, it is not my area.","Data visualization, storytelling","Hugging Face transformers, LangChain","Analytical, I like working through problems on a whiteboard","Chess, competitive gaming, streaming",I am most comfortable in Spanish and English,,Freya Castillo,freya.castillo37@ucsd.edu,2029
7/6/2026 11:04:00,No,"In Person, Phone Conversations, Email","Interview Preparation, How to Network, Graduate School Decisions, Leadership Skills, Resume Review",Maybe,Yes,Media and entertainment,"Minneapolis, Minnesota, USA",,For it to be more conversationsal with examples,Energized by collaboration,A blend of both,,"MLOps, model deployment, monitoring","Hugging Face transformers, LangChain","Analytical, I like working through problems on a whiteboard","Reading science fiction, board games, puzzles",No preferences,I am considering a PhD but unsure it is the right path,Wren Silva,wren.silva38@ucsd.edu,2030
7/6/2026 15:11:00,Maybe,"Virtual Meeting, Texts, Instant Messaging","Resume Review, How to Network, Leadership Skills",Maybe,No,E-commerce,"Boston, Massachusetts, USA",,"Both, depending on the situation",Energized by collaboration,Setting structured goals,none,"Reinforcement learning, robotics","TensorFlow, Keras, JAX","Structured, I usually come with an agenda","Playing guitar, going to concerts, collecting vinyl",,"First generation student, guidance on navigating industry would help",Jamal OBrien,jamal.obrien39@ucsd.edu,2030
7/6/2026 16:14:00,No,"Texts, Instant Messaging, In Person, Virtual Meeting, Anything but email","How to Network, Interview Preparation, Graduate School Decisions, Leadership Skills",Yes,No,Retail,"Sydney, Australia",I want to hear from someone who moved from academia into industry.,For it to be more conversationsal with examples,A blend of both,A blend of both,Prefer someone outside of insurance.,"Reinforcement learning, robotics","Python, scikit-learn, pandas","Informal and flexible, I follow where the conversation goes","Soccer, basketball, watching football",,,Ravi Karimi,ravi.karimi1@ucsd.edu,2030
